Adres;PC;Huisnummer;Toevoeging;Wijk;Aannemer;Contactpersoon;Datum_aanvraag;Soort;nb_hoogte
Begijnesteeg 1e;6365 BO;35;;Staatsliedenbuurt;Bouwbedrijf Lok;E. de Jonge;20/11/2015;Gevelrenovatie;6,4
Houtensche pad;4397 EE;140;;Sterrenwijk;Kroon VOF Aannemersbedrijf;N. Driessen;16/09/2019;Dakkapel;12,8
Kolfstraat;2950 ZX;133;;Oudwijk;B.A.B.S. afbouw;M. van der Horst;17/09/2017;Stal;22,4
Knipstraat;1510 YN;139;;Pijlsweerd-Zuid;Van Ampting Bouwprojecten B.V.;D. Kuipers;17/03/2020;Dakkapel;35,2
Geertestraat;4109 KS;77;C;Rivierenwijk;BOV Aannemingsbedrijf;W. Dijkstra;17/05/2020;Gevelrenovatie;25,6
Zoutmarkt;3918 MB;139;;Terwijde;Smidt Bouwbedrijf;U. van der Wal;16/11/2016;Gevelrenovatie;16
Grutterssteeg;6290 PX;138;C;Vogelenbuurt;Acs Onderhoud;F. de Haan;06/12/2017;Schuur;22,4
Brouwerstraat;6456 YK;12;;Papendorp;Technisch Onderhoudsbedrijf Stegenga;B. de Graaf;29/04/2018;Aanbouw;9,6
Walsteeg;2803 KQ;15;;Tuinwijk-West;Bouwbedrijf Gebr. van Dorland;R. Janssen;26/05/2017;Nieuwbouw;38,4
Korte Minrebroederstraat;1061 ZY;104;;Lombok-West;Aannemersbedrijf Jonker;I. van der Wal;26/09/2016;Schuur;9,6
Weerdsingel W.Z.;7744 CD;136;;Staatsliedenbuurt;Vébé Bouw B.V.;X. Jacobs;01/01/2018;Aanbouw;19,2
Vinkenbuurt;5996 HB;90;C;Vogelenbuurt;Cladding Partners B.V.;X. Postma;21/07/2017;Gevelrenovatie;28,8
Kleine Lijnpad 1e;5957 EP;64;;Lunetten-Noord;Duijndam B.V.;Z. Brouwer;24/01/2016;Boomkap;22,4
Jansdam;5819 EU;144;;Lunetten-Noord;Presolid Home B.V.;J. Koster;28/03/2016;Gevelrenovatie;35,2
Achter Clarenburg;2151 ZC;1;D;Bloemenbuurt;Schnieders J;B. Peters;12/01/2017;Boomkap;28,8
Bankastraat;1737 XT;35;B;Kanaleneiland-Zuid;Tijdhof-Hobema aannemers bv;P. Dijkstra;10/07/2018;Stal;6,4
Frederik Hendrikstraat;8421 PX;27;;Langerak;Bouwbedrijf Th. van Weert b.v.;Q. Visser;18/11/2019;Stal;28,8
Baanstraat;8387 TF;28;;Strijkviertel;Van der Vaart Bouw;D. Boer;26/06/2017;Aanbouw;6,4
Jan Pietersz. Koenstraat;9801 UO;150;C;Rivierenwijk;Niehof J B;O. Peters;05/08/2019;Gevelrenovatie;6,4
Biltstraat;8132 WK;53;D;Schildersbuurt;REBBouw;R. Mulder;14/10/2016;Nieuwbouw;16
Koningstraat;3975 LQ;54;;Papendorp;Constructiebedrijf Broecks BV;U. de Boer;12/04/2016;Nieuwbouw;19,2
Knollensteeg;4937 EY;79;;Kanaleneiland-Zuid;Rietveld B.V.;G. Jonker;12/05/2019;Dakkapel;19,2
Kanonstraat;8030 QA;27;A;Pijlsweerd-Zuid;Geldof Zeeuwsch-Vlaanderen B.V.;G. Visser;17/03/2019;Nieuwbouw;25,6
Lamstraat;3312 WU;86;;Bokkenbuurt;FixEnjoy Bouw B.V.;R. de Graaf;31/05/2019;Boomkap;6,4
Leistraat;8696 VO;23;B;Lunetten-Zuid;Bouwbedrijf Terluin B.V.;U. van der Ven;18/12/2019;Gevelrenovatie;16
Mulderstraat;3608 OM;66;;Transwijk-Noord;Aannemingsbedrijf De Wit Drunen B.V.;O. Postma;04/01/2019;Stal;38,4
Tuinstraat;5878 XM;29;;Strijkviertel;Van Ampting Bouwprojecten B.V.;W. Timmermans;16/08/2019;Boomkap;22,4
Annastraat;2392 SR;36;;Bloemenbuurt;Bijlbouw B.V.;W. van der Veen;09/08/2017;Dakkapel;16
Jachtstraat;8773 VS;80;;Tuinwijk-Oost;Gerard Heij Bouw en Timmerbedrijf;M. van de Velden;02/01/2017;Boomkap;38,4
Leidsche Weg;1416 ED;62;;Transwijk-Noord;Aannemingsbedrijf Draisma B.V.;O. van Dam;20/07/2019;Aanbouw;6,4
Kanaalstraat;8166 FS;127;D;Rivierenwijk;Vromans Kozijnen B.V.;M. Kuijpers;19/06/2019;Aanbouw;12,8
Moreelsepark;5133 GK;93;;Geuzenwijk;Hecon Bouwgroep;F. van der Laan;18/12/2017;Nieuwbouw;25,6
Weteringstraat;2118 BA;98;C;Ondiep;Verwey Bouw- en Handelsbedrijf;I. van de Berg;05/12/2017;Schuur;32
Vosstraat;3309 VD;116;C;Langerak;AsenaBouw Amsterdam;N. van den Pol;07/04/2017;Dakkapel;38,4
Spijkerstraat;5118 UD;100;D;Papendorp;Bouwbedrijf G.M. van Rooij B.V.;X. van der Heyden;17/01/2015;Boomkap;32
Costa, Da kade;2460 EZ;96;;Lunetten-Zuid;E de Boer & Zn Aannemersbedrijf B.V.;X. Dijkstra;25/04/2016;Verwijderen stal;28,8
Kr. Elleboogsteeg;3505 XG;41;;Sterrenwijk;PHB Deventer B.V.;P. Kramer;08/09/2019;Nieuwbouw;12,8
Griftstraat;2691 ZE;135;;Buurtnaam;Poel Bouwbedrijf;V. Mol;19/12/2018;Gevelrenovatie;38,4
Oudwijkerveldstraat;6403 AW;73;;Bloemenbuurt;Frebouw Bouw- & Onderhoudsbedrijf;N. Vink;08/07/2018;Gevelrenovatie;16
Kollewijsteeg;8839 GQ;69;;Oudwijk;Thalen Bouwbedrijf;I. van der Horst;25/01/2016;Boomkap;35,2
Jacobsplein;8427 PU;73;;Bedrijventerrein Lageweide;Enschede Bouwbedrijf;R. Prins;09/03/2015;Gevelrenovatie;9,6
Paardenveld;5262 CP;71;;Tuinwijk-West;Haex Brankaert Aannemersbedrijf B.V.;N. van Wijk;28/09/2015;Gevelrenovatie;25,6
Ooftstraat;8095 EQ;15;A;Tuinwijk-Oost;Bouwbedrijf J. van Dijk B.V.;F. van de Wal;08/01/2015;Schuur;35,2
M.A. de Ruijterstraat;5284 ZQ;134;;Nieuw Hoograven;van Dongen Bouwbedrijf A D R;T. Blom;22/04/2016;Dakkapel;25,6
Vossegatschedijk;9203 ZR;46;;Langerak;vd Zwaan VOF Aannemersbedrijf;U. van den Brink;20/11/2015;Gevelrenovatie;19,2
Dillenburgstraat;4030 TA;10;;Bedrijventerrein Lageweide;Lieftink Geveltechniek BV;Z. Koning;04/10/2018;Stal;38,4
Choorstraat;8104 YQ;38;;Terwijde;ELBERSE BOUWBEDRIJF B.V.;L. van der Ven;10/03/2020;Schuur;35,2
Stadhouderslaan;7172 HU;51;;Pijlsweerd-Noord;Kessels Aannemersbedrijf;Y. de Ruiter;26/10/2015;Dakkapel;19,2
Laan van Croes;2693 RH;114;A;Bloemenbuurt;Aannemingsbedrijf J vd Windt B.V.;I. van der Heijden;13/08/2017;Schuur;35,2
Hovenstraat;5055 PD;150;C;Kanaleneiland-Zuid;Norbert Schwarte Bau B.V.;M. Martens;05/05/2019;Gevelrenovatie;35,2
Badstraat;9199 VF;61;;Hogeweide;Aannemersbedrijf Beverbouw BV;P. Hermans;17/08/2015;Dakkapel;22,4
Waterpoort;1704 QI;30;;Nieuw Hoograven;Dalwin Bouw;K. van de Velden;15/10/2016;Gevelrenovatie;25,6
Servaaspark;9921 TL;99;;Bloemenbuurt;Hoogstraten Wegenbouw B.V.;B. Peters;16/04/2019;Nieuwbouw;9,6
Pieter Bothstraat;5753 ZJ;80;C;Nieuw Hoograven;Aannemingsbedrijfvisser;A. van de Ven;19/01/2020;Nieuwbouw;38,4
Brouwerstraat;9086 QE;75;;Dichterswijk;Kranenbarg Aannemersbedrijf G;Q. van de Ven;17/10/2019;Stal;28,8
Biltstraat;6768 OD;60;;Terwijde;Spee Aannemingsbedrijf B.V.;I. van den Pol;17/11/2018;Dakkapel;35,2
Vischmarkt;5082 II;146;;Nieuw Hoograven;Bouw en Ontwikkeling du Prie B.V.;O. Koning;29/02/2016;Dakkapel;25,6
Kerksteeg;6673 KB;22;;Lunetten-Noord;Composiet Prefab Bouw;K. Boer;07/10/2018;Stal;35,2
Merwedekade;6745 DU;53;;Nieuw Hoograven;Aannemersbedrijf Gebr. van Breda BV;Z. Mulder;19/02/2019;Boomkap;32
Jachtstraat;1619 TC;14;D;Strijkviertel;Geldof Zeeuwsch-Vlaanderen B.V.;F. Dekker;09/10/2017;Dakkapel;9,6
Riouwstraat;6213 HK;148;;Tuindorp-Oost;vd Engel Aannemingsbedrijf H A;K. de Lange;23/03/2017;Schuur;22,4
Kwakkeldijk;1229 QQ;81;D;Hogeweide;Kootstra-vd Veen VOF;Q. van de Veen;17/05/2020;Aanbouw;19,2
Bokstraat;5630 FE;90;C;Tuinwijk-West;Bouwbedrijf Zaanland;L. Sanders;17/02/2016;Verwijderen stal;19,2
Lindestraat;7350 HP;112;;Nieuw Hoograven;MIEDEMAbouw;V. Jonker;24/05/2017;Gevelrenovatie;6,4
Badstraat;7364 XX;132;;Bedrijvengebied Overvecht;Aannemingsbedrijf R Middelkoop B.V.;U. Kuypers;07/03/2015;Verwijderen stal;12,8
Hoogelanden WZ;6021 MU;122;B;Tuindorp-Oost;Schipper&Paaimans Bouwgroep;D. van der Pol;20/11/2016;Aanbouw;9,6
Landstraat;5623 CV;84;D;Lombok-Oost;Bouwbedrijf Pinkert B.V.;R. van Wijk;27/04/2015;Gevelrenovatie;6,4
Elijnshof;1065 UL;27;;Kanaleneiland-Zuid;Spee Aannemingsbedrijf B.V.;H. Schipper;07/01/2020;Boomkap;28,8
Bladstraat;4996 JS;142;;Langerak;ptc-opleidingen;U. van der Linden;08/03/2020;Schuur;12,8
Cellebroederstraat;4991 LN;63;;Sterrenwijk;Aannemingsbedrijf De Wit Drunen B.V.;V. Mulder;28/08/2019;Schuur;16
Loefbergmakerstraat;9747 UA;107;;Bloemenbuurt;BMU Groep Bouw & Onderhoud;G. Kuipers;04/06/2019;Verwijderen stal;28,8
Eloyensteeg;2332 VX;5;D;Tuinwijk-West;Aannemersbedrijf VDS;J. van Leeuwen;06/06/2020;Boomkap;38,4
Hamburgerstraat;6506 IL;84;;Bedrijventerrein Lageweide;Kessels Aannemersbedrijf;I. van Beek;21/12/2017;Nieuwbouw;22,4
Groote Eligensteeg;1662 GQ;146;D;Tuindorp-Oost;Scheerder Bouwbedrijf B.V.;O. van den Velde;27/09/2017;Aanbouw;28,8
Protestantenhofje;4640 GL;55;;Strijkviertel;Bouwbedrijf van Grootheest B.V.;P. Scholten;26/10/2015;Verwijderen stal;22,4
Koningsweg;9754 PS;49;;Oud Hoograven;v.o.f.jh. pulles en zn.;Y. van de Meer;17/02/2018;Boomkap;6,4
Oudwijkerveldstraat;3261 DT;40;A;Bokkenbuurt;Fokker-Oomen B.V.;F. de Vos;08/01/2019;Stal;28,8
Magdalenastraat;1560 AL;70;;Tuinwijk-West;Timmerbedrijf Poortinga;C. van der Veen;05/10/2018;Gevelrenovatie;35,2
Putsteeg;5175 BD;134;;Tuinwijk-West;Waal Timmer- en Aannemersbedrijf;O. Bosman;05/06/2020;Schuur;28,8
Kroonstraat;2770 UF;29;;Buurtnaam;Lamers Bouw;Z. de Vries;21/01/2015;Nieuwbouw;9,6
Roggestraat;8562 LF;57;D;Buurtnaam;Graveland & Molenaar Bouw B.V.;Y. de Ruiter;12/05/2020;Stal;9,6
Hennipstraat;7210 IP;107;;Schildersbuurt;Bouwbedrijf Been;U. van den Brink;17/02/2019;Dakkapel;38,4
Otterstraat;7924 LS;49;A;Transwijk-Noord;Allround Bouw Service ;U. Hofman;26/11/2015;Nieuwbouw;25,6
Admir. Van Ghentstraat;3211 RH;61;;Tweede Daalsebuurt en omgeving;Reins Bouwbedrijf B.V.;R. Mulder;22/01/2016;Schuur;19,2
Lanceepoort;2774 MO;26;C;Bokkenbuurt;GEBR THIJSSEN B.V.;S. de Boer;12/03/2016;Schuur;19,2
Joh. Willem Frisostraat;3231 TU;91;;Pijlsweerd-Noord;Aannemersbedrijf Vogt B.V.;G. van Beek;08/09/2016;Stal;35,2
Ekerenspoort;2873 CE;112;A;Transwijk-Zuid;Aannemingsbedrijf Van Driel B.V.;O. van den Berg;21/07/2017;Schuur;9,6
Korte Jansstraat;4487 RR;48;A;Pijlsweerd-Noord;Aannemersbedrijf Schasfoort B.V.;C. van den Broek;06/02/2015;Stal;25,6
Costa, Da kade;4953 HS;128;B;Hogeweide;Bouwbedrijf Groen B.V.;F. van de Berg;28/03/2020;Schuur;38,4
Haverland;4270 LM;47;B;Zuilen-Noord;Welling Bouw Breda B.V.;T. Bakker;10/05/2017;Stal;22,4
Minutensteeg;1996 SS;41;;Schildersbuurt;Tadema Bouwbedrijf B.V.;C. Smeets;02/02/2015;Verwijderen stal;28,8
Mauritsstraat;1044 OT;103;;Lombok-West;Proper Aannemersbedrijf B.V.;U. de Bruijn;18/05/2016;Dakkapel;19,2
Schutstraat;6271 GB;12;;Tweede Daalsebuurt en omgeving;Bouwbedrijf Barten B.V.;B. Hendriks;11/05/2020;Schuur;35,2
Oorsprongpark;7009 YK;28;;Nieuw Hoograven;Bouw- en Onderhoudsbedrijf A. van Dijk;M. Dekker;16/04/2016;Verwijderen stal;28,8
Wagenstraat;4526 ZS;22;A;Tweede Daalsebuurt en omgeving;Bouwbedrijf Cornel B.V.;L. van der Berg;22/05/2018;Dakkapel;12,8
Vrouwjuttenstraat;8638 EQ;29;;Tuinwijk-West;Oude Moleman Aannemersbedrijf;Z. Kuiper;12/11/2016;Verwijderen stal;12,8
Kindgenshaven;2101 IT;145;;Sterrenwijk;Bot Bouw;S. van de Velde;24/06/2018;Verwijderen stal;6,4
hazelaarstraat;2504 OC;30;;Tuindorp-Oost;WSM Bouw B.V.;H. Martens;03/02/2020;Dakkapel;38,4
Bekkerstraat;2868 CR;37;D;Bedrijventerrein Lageweide;Bouwbedrijf Been;N. Gerritsen;24/11/2016;Boomkap;12,8
Emmalaan;3439 VS;9;;Pijlsweerd-Zuid;Aannemersbedrijf R Boekhoorn B.V.;C. van der Meer;04/05/2019;Schuur;22,4
Driesprong;7724 TS;110;;Nieuw Hoograven;Webosa Bouw;R. van de Pol;21/05/2016;Nieuwbouw;38,4
Tolsteegsingel W.Z.;5370 ET;94;;Schildersbuurt;Bouwbedrijf H.Bouwers;Y. van den Heuvel;21/05/2020;Boomkap;25,6
Achterstraat 3e;2845 QV;30;;Tweede Daalsebuurt en omgeving;Hoek Bouw - 0800AANBOUW.nl;I. Hendriks;31/05/2018;Boomkap;28,8
Weidesteeg;8941 MX;21;A;Watervogelbuurt;Bouw- en Onderhoudsbedrijf KCH;P. de Graaf;07/04/2016;Gevelrenovatie;12,8
Gasthuissteeg;3184 NC;101;C;Geuzenwijk;Ruiter Bouwbedrijf;F. Timmermans;01/03/2017;Boomkap;9,6
Catharijnesingel;9356 CF;132;;Oud Hoograven;Aannemersbedrijf Timmerman;X. Molenaar;09/06/2017;Schuur;19,2
Brakelstraat (van);6778 MX;148;;Terwijde;van Bruggen Aannemersbedrijf;Y. Bosman;04/06/2020;Boomkap;16
Blauwkapelscheweg;9619 AJ;75;B;Pijlsweerd-Zuid;Haggeman Aannemersbedrijf B.V.;T. van der Ven;04/11/2019;Nieuwbouw;9,6
Drakenburgsteeg;4115 ZC;129;;Molenbuurt;Bouwbedrijf Baltussen;M. Timmermans;08/03/2019;Dakkapel;16
Takstraat;3380 KD;141;;Rivierenwijk;John Braas Bouwbedrijf B.V.;J. Hendriks;05/03/2019;Gevelrenovatie;12,8
Varkenmarkt;2889 OI;92;C;Dichterswijk;Bekhuis Bouwbedrijf;U. van de Berg;14/02/2018;Verwijderen stal;16
Jan Houtmanstraat;1661 FV;131;;Kanaleneiland-Zuid;van Dijk Aannemersbedrijf;K. van der Ven;13/07/2019;Verwijderen stal;35,2
Lijnmarkt;8016 XK;22;;Tuindorp-Oost;Bouwbedrijf J. van Dijk B.V.;W. de Wit;17/03/2015;Aanbouw;6,4
Kromme Rijn;3194 AM;20;;Pijlsweerd-Zuid;Bouwbedrijf Timmerman BV;Q. de Ruiter;09/02/2019;Dakkapel;32
Adriaanstraat;2119 CN;111;;Tuinwijk-Oost;J.Verschoor Bouw B.V.;H. Schouten;22/04/2018;Verwijderen stal;12,8
Delistraat 2e;5751 RE;138;;Bokkenbuurt;Chr van Arnhem en Zn B.V.;P. Visser;17/07/2015;Nieuwbouw;12,8
Leidsche Kade;7977 BP;100;B;Lunetten-Noord;Wagemakers Bouwbedrijf B.V.;H. van de Meer;22/03/2019;Boomkap;16
Leeuwstraat;6257 EN;44;;Kanaleneiland-Zuid;Chrimako B.V.;G. Evers;23/05/2020;Verwijderen stal;9,6
Bloemstraat;9434 EB;109;;Pijlsweerd-Noord;Slim Bouwen Assen;B. Vink;06/01/2015;Nieuwbouw;25,6
Dorstige-hartsteeg;3091 XF;35;C;Sterrenwijk;Segerink Aannemersbedrijf;H. Bos;06/11/2015;Dakkapel;9,6
Speykstraat (van);2265 QR;80;B;Oudwijk;Baderie Assen;F. van Dam;05/08/2018;Aanbouw;25,6
Pieter Saenredamstraat;7363 FW;56;B;Kanaleneiland-Noord;Sanders Aannemersbedrijf W G M;W. van de Meer;04/04/2018;Verwijderen stal;25,6
Bleijenburgstraat;5529 UY;12;;Lunetten-Noord;Aannemingsbedrijf Project Rotterdam B.V.;O. van Vliet;30/11/2016;Schuur;19,2
Soendastraat;5244 PB;56;;Geuzenwijk;Hummelink Bouw;E. de Haan;14/08/2015;Gevelrenovatie;25,6
Badstraat;7826 VK;75;;Pijlsweerd-Zuid;Aannemersbedrijf Hekman Vroomshoop B.V.;V. Smit;20/01/2016;Verwijderen stal;35,2
Korte Nieuwstraat;7763 TU;123;;Transwijk-Noord;Aannemersbedrijf J.W van Tunen;I. Vink;28/10/2019;Dakkapel;38,4
Hoogstraat;3766 SO;33;;Pijlsweerd-Noord;Bouwbedrijf Barten B.V.;S. Gerritsen;05/02/2019;Verwijderen stal;35,2
Boorstraat;7244 UW;64;D;Lombok-West;Bouwbedrijf De Wit B.V.;B. Vos;08/04/2017;Nieuwbouw;16
Buurkerkhof;2440 AR;92;;Watervogelbuurt;Bergwerf Bouw- en Aannemingsbedrijf;Y. van den Berg;22/02/2018;Stal;16
Bregittenstraat;9052 QU;62;A;Bedrijventerrein Lageweide;Norbert Schwarte Bau B.V.;L. Scholten;01/08/2019;Gevelrenovatie;35,2
Boterstraat;9054 XP;117;D;Tuinwijk-Oost;Hegeman Bouw Partners B.V.;E. Postma;01/12/2019;Dakkapel;9,6
Eikenboomstraat;2134 RB;62;;Bedrijventerrein Lageweide;Aannemingsmij Vink B.V.;A. Mulder;14/07/2016;Stal;12,8
Dondersstraat (F.C.);3634 KC;114;;Transwijk-Noord;Bouwbedrijf Bakker Arkel B.V.;U. van den Pol;21/09/2016;Gevelrenovatie;6,4
Rozenstraat;7647 CY;40;A;Lombok-Oost;The Mac Group BV;U. Vink;22/05/2020;Gevelrenovatie;16
Nieuwegracht;1629 QK;125;;Oud Hoograven;Rowebo Aannemersbedrijf;R. van Vliet;02/01/2016;Verwijderen stal;32
Riviersteeg;5787 CP;113;D;Rivierenwijk;Aannemersbedrijf Grijzenhout B.V.;E. van den Brink;01/05/2017;Dakkapel;38,4
Zandpad;8335 OH;83;;Bedrijventerrein Lageweide;DEBA Vastgoed Onderhoud;M. de Boer;24/12/2018;Boomkap;38,4
Buurkerkhof;9242 SZ;69;D;Lunetten-Noord;Vema Schiedam B.V.;G. Blom;11/06/2018;Verwijderen stal;19,2
Baanstraat;5735 SO;84;D;Ondiep;Aannemer en bouwbedrijf Aladino;F. Kok;13/03/2020;Nieuwbouw;22,4
Dillenburgstraat;2290 HF;90;;Tuinwijk-Oost;Bouwbedrijf Bakker Arkel B.V.;W. Wolters;14/12/2017;Aanbouw;38,4
Markstraat;4930 PE;97;;Sterrenwijk;Borrenbergs Bouwbedrijf B.V.;H. de Boer;17/08/2015;Gevelrenovatie;28,8
Rijnstraat;7526 DZ;26;;Schildersbuurt;Aannemersbedrijf JMB B.V.;S. van de Brink;25/05/2016;Gevelrenovatie;28,8
Lakmoessteeg;2191 GW;9;A;Tuinwijk-Oost;Pardoel Aannnemersbedrijf B.V.;E. van der Laan;10/12/2018;Nieuwbouw;16
Jan Meyenstraat;4470 UU;64;A;Kanaleneiland-Zuid;v.o.f.jh. pulles en zn.;O. van de Ven;21/04/2018;Dakkapel;9,6
Leeuwenst. Laan;5890 SC;83;;Lombok-Oost;Bouwbedrijf Buschers B.V.;K. van den Heuvel;21/04/2018;Nieuwbouw;19,2
Sterrenhof;3330 PH;40;;Strijkviertel;Koertse Bouw en Onderhoud C;S. Dijkstra;13/02/2020;Stal;22,4
Putsteeg;1439 ZC;118;;Lunetten-Noord;Vervobouw;E. Peters;07/05/2020;Dakkapel;19,2
Slachtsteeg;7580 LL;14;A;Kanaleneiland-Noord;Bekhuis Bouwbedrijf;D. Kramer;19/11/2019;Boomkap;16
Spijkerstraat;8027 UB;133;;Vogelenbuurt;Kuperus bouw;O. Blom;21/04/2017;Dakkapel;32
Museumlaan;1285 CO;28;D;Transwijk-Zuid;Van der Werff Groep;H. Kuiper;12/05/2020;Nieuwbouw;25,6
Brakelstraat (van);9238 HY;27;;Bokkenbuurt;Bouwen en Installeren Den Boer B.V.;L. Mol;01/01/2020;Boomkap;38,4
Rijndijk;7057 HJ;77;;Nieuw Hoograven;Entius Bouwbedrijf K;Z. Schouten;17/04/2020;Dakkapel;25,6
